Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
purpose for which the road vehicle is intended,inspection sticker,"the purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator",,,
category of road vehicle,inspection sticker,the category of road vehicle,,,
manufacturer's factory mark,inspection sticker,the manufacturer's factory mark as specified by the road vehicle manufacturer,,,
trade name,inspection sticker,the trade name if specified by the road vehicle manufacturer,,,
type,inspection sticker,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,,
engine data,inspection sticker,"the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",,,
type of bodywork,inspection sticker,"type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank",,,
overall dimensions,inspection sticker,the overall dimensions of the road vehicle,,,
maximum technically permissible weight,inspection sticker,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,,
type of coupling device,inspection sticker,"the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,,
type of technical inspection,inspection sticker,"data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",,,
written application by the owner,inspection sticker,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle,,,
type and category of the road vehicle,inspection sticker,An application for the registration of a road vehicle in the register of road vehicles shall include the type and category of the road vehicle,,,
details of the owner,inspection sticker,An application for the registration of a road vehicle in the register of road vehicles shall include details of the owner of the road vehicle,,,
details of the operator,inspection sticker,An application for the registration of a road vehicle in the register of road vehicles shall include details of the operator of the road vehicle if the owner is not also the operator of the road vehicle,,,
registration certificate,inspection sticker,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant",,,
registration plate,inspection sticker,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle",registration plate,,*
registration identifier,inspection sticker,The registration plate contains a registration identifier. The registration identifier shall consist of a combination of capital letters of the Latin alphabet and Arabic numerals,,,
sticker,inspection sticker,"When issuing a registration plate, the municipal authority of the municipality with extended jurisdiction shall affix a sticker to the plate issued, indicating the date of the periodic technical inspection",,,
date of the repeated technical inspection,inspection sticker,"If the road vehicle has been found to be seriously defective, the municipal authority shall mark on the sticker the date of the repeated technical inspection, which shall be the last day of the month following the month of registration of the road vehicle in the register of road vehicles",,*,
sticker,inspection sticker,"If the road vehicle has been found to be dangerously defective, the municipal authority shall not affix the sticker to the registration plate",,,
green card,inspection sticker,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle,,,
technical inspection,inspection sticker,The operator of a road vehicle which has not been registered in another state prior to its registration in the register of road vehicles shall bring the road vehicle in for a technical inspection within 4 years from the date of registration of the vehicle in the register of road vehicles and periodically thereafter within 2 years from the date of the previous technical inspection,,,
roadworthiness,inspection sticker,"A road vehicle technical inspection is an inspection of its roadworthiness which includes the technical condition and functioning of a road vehicle, its systems, components and separate technical units and their environmental impact or a registration test of a road vehicle",,,
technical inspection station,inspection sticker,A technical inspection station is a workplace specialised in carrying out technical inspections of road vehicles,,,
emissions measurement,inspection sticker,Emissions measurement as part of the technical inspection can be carried out at the emission measurement station before other inspection tasks are carried out at the technical inspection station,,,
technical condition and operation,inspection sticker,"During a technical inspection, the technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle",,,
validity of the technical inspection,inspection sticker,"The technical inspection for a road vehicle shall cease to be valid if, after the technical inspection has been carried out, changes have been made to the vehicle which are not in accordance with the information entered in the register of road vehicles, in the registration certificate of the road vehicle or in a similar document issued by a member state other than the member state on the date of the check; or a reduction in the distance travelled on the odometer of the road vehicle compared to the distance travelled on the odometer recorded during the technical inspection",,*,
levels of defects,inspection sticker,"The technical inspection of a road vehicle can detect 3 levels of defects, which are a minor defect which does not significantly affect the operational characteristics of the vehicle, road safety or the environment, a serious defect which affects the operational characteristics of the vehicle, is liable to endanger road traffic, may adversely affect the environment or consists of a serious deficiency in the identification of the vehicle, or a dangerous defect which poses an immediate threat to the safety of the road vehicle, to road traffic or to the environment",,,
technically fit for use on the road,inspection sticker,"A road vehicle is technically fit for use on the road if no defects or only minor defects have been found during the road vehicle technical inspection. If the technical inspection has revealed minor defects, the operator of the road vehicle shall remedy them. The technical inspection station shall affix an inspection sticker on the rear plate of the registration plate of the road vehicle indicating the month and year of the next periodic technical inspection of the road vehicle",,,
technically fit for use only for 30 days,inspection sticker,"If a technical inspection detects a serious defect, the vehicle is technically fit for use only for 30 days from the date of the technical inspection. Within this period, the operator of the road vehicle shall be obliged to bring the road vehicle with the rectified serious defect to the technical inspection station for a repeat technical inspection. If the operator of the road vehicle does not proceed in this way, or if the repeated technical inspection reveals that the defect to be rectified has been recurrently rectified, the vehicle is technically unfit for use and may not be used in traffic. The operator shall be obliged to ensure that the vehicle is towed away from the technical inspection station at his own expense",,,
technically unfit for use,inspection sticker,"If the technical inspection of a road vehicle reveals a dangerous defect, the vehicle is technically unfit for use and must not be used in traffic. The operator is obliged to ensure that the vehicle is towed at his own expense from the technical inspection station, that the dangerous defect is removed, and that the road vehicle is brought in for a repeat technical inspection. Upon detection of a dangerous defect, the technical inspection station shall remove the technical inspection sticker from the rear plate of the registration plate",,,
